web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1557300516-3179","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@StanfordMed","Stanford Medicine","An unusual treatment for severe #depression — vagus-nerve stimulation (VNS) http://stan.md/1H9TpYR","","17","10","1431358845000","8:40 AM - 11 May 2015","/StanfordMed/status/597788442056105984"
"1557300516-2818","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@DrHowardLiu","Howard Liu","Study of #collaborative care vs. usual care for #depression showed patients reached treatment targets 7x faster. http://bit.ly/collabcaretarget …pic.twitter.com/w41wThs2XK","","6","9","1507991619000","7:33 AM - 14 Oct 2017","/DrHowardLiu/status/919209593363771392"
"1557300516-3045","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@akhuthera","Akhu Therapeutics","Which factor is most likely to cause discontinuation of #antidepressant treatment? #depression #help2cope","","271","258","1457123511000","12:31 PM - 4 Mar 2016","/akhuthera/status/705853283328339968"
"1557300516-2988","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@vinylarm","The Rising Sun","Admitting depression to yourself is a hard thing to do http://www.time-to-change.org.uk/blog/admitting-depression-yourself-hard-thing-do … #Depression #MentalHealth #Treatment pic.twitter.com/tYFJZK0wai","","16","12","1469471977000","11:39 AM - 25 Jul 2016","/vinylarm/status/757646502978215936"
"1557300516-2668","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@samhsagov","SAMHSA","#Depression and substance use could put someone you care about at risk for suicide. Find help and #treatment support in your community. https://www.samhsa.gov/find-help pic.twitter.com/gsajmeKM3I","","11","16","1547054113000","9:15 AM - 9 Jan 2019","/samhsagov/status/1083049565429923851"
"1557300516-3249","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@THEMMEXCHANGE","MME","#PTSD affects about 7.7 million American adults. Shouldn't #Marijuana be a treatment Option? 

#medical #depression pic.twitter.com/nvakj2Qc7l","1","19","25","1418497348000","11:02 AM - 13 Dec 2014","/THEMMEXCHANGE/status/543843414425362433"
"1557300516-2679","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@capcbristol","CAPC, Bristol","No evidence of a clinically important benefit for #mirtazapine in addition to an #SSRI or #SNRI over placebo for treatment-resistant #depression in #primarycare. Recent paper by Dr David Kessler et al in @BMJ_latesthttps://www.bmj.com/content/363/bmj.k4218 …","","18","36","1542574271000","12:51 PM - 18 Nov 2018","/capcbristol/status/1064259748252565505"
"1557300516-3409","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@NAMICommunicate","NAMI","Is it mind over meds in #depression treatment?: http://ow.ly/7n7PB  #mentalhealth via @msnbc","1","8","1","1320786446000","1:07 PM - 8 Nov 2011","/NAMICommunicate/status/134014186559770624"
"1557300516-2979","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@ADevotedYogi","A Devoted Yogi","Yoga as a Complementary Treatment of #Depression: Effects of Traits and Moods on Treatment Outcome

https://goo.gl/cidn6p","","6","14","1471740086000","5:41 PM - 20 Aug 2016","/ADevotedYogi/status/767159641231032320"
"1557300516-3149","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@SarahGraham7","Sarah Graham","Has CBT had its day as a treatment for #depression? I investigated for @VICE: http://bit.ly/1HBbs7x  #mentalhealthpic.twitter.com/HiXEWV8BZA","","5","4","1436803629000","9:07 AM - 13 Jul 2015","/SarahGraham7/status/620625520007507968"
"1557300516-2772","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@JeffreyGuterman","Jeffrey Guterman","Please know there is #NoStigma for having a #MentalIllness. I am a licensed mental health counselor with 30+ years experience, I have a history of #depression and I am in treatment. The key to overcoming stigma is self-acceptance and others: https://psychcentral.com/lib/self-acceptance-is-the-key-to-a-healthier-self-image/ …","4","19","42","1518804439000","10:07 AM - 16 Feb 2018","/JeffreyGuterman/status/964561847402876934"
"1557300516-3000","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@patientslikeme","PatientsLikeMe","28,000 PatientsLikeMe #depression members are sharing & comparing treatment experiences: http://bddy.me/29Olvz1 pic.twitter.com/SuVFeZSC4H","","11","7","1468342819000","10:00 AM - 12 Jul 2016","/patientslikeme/status/752910469732630528"
"1557300516-2975","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@WeedFeed","Marijuana News","Physicians have Recommended #Cannabis for the Treatment of #Depression Since 1621 -  http://mmjne.ws/1T1h3w7  pic.twitter.com/Y0Ol0nVZNt","","44","38","1472359141000","9:39 PM - 27 Aug 2016","/WeedFeed/status/769756148157349888"
"1557300516-2711","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@DominicMc999","Dom Mcloughlin #ProEurope #PeoplesVote","One more day to hopefully get my life back on track after #depression and vodka in large quantities have  succeeded in dragging me down to unbearable despair. I can’t wait for Monday 9.30am, my appointment time with #AlcoholSupport and receive treatment. Scary, but I’ll try","48","12","224","1533999278000","7:54 AM - 11 Aug 2018","/DominicMc999/status/1028293619755765760"
"1557300516-3457","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@farai","Farai Chideya","Putting mental health treatment ahead of political ambition: http://tinyurl.com/PoliticianDepressed #politics #health #depression #wisdom","","","1","1238596266000","7:31 AM - 1 Apr 2009","/farai/status/1431632170"
"1557300516-3449","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@PsychBrownBag","Mike Anestis, Ph.D.","http://bit.ly/LyTFm - Acceptance and commitment #therapy vs traditional cognitive therapy in the treatment of #anxiety + #depression. #psych","","","","1248197298000","10:28 AM - 21 Jul 2009","/PsychBrownBag/status/2761416389"
"1557300516-3447","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@jdaynger","Jason Mayfield","Turning Nightmares Into Dreams - http://tinyurl.com/mukvms #Insomnia #depression #sleep treatment #sleep disorder","","","","1248598587000","1:56 AM - 26 Jul 2009","/jdaynger/status/2850998386"
"1557300516-2721","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@TheLancetPsych","The Lancet Psychiatry","New. #Internet-based behavioural activation with lay counsellor support versus online minimal psychoeducation without support for treatment of #depression: a randomised controlled trial in Indonesia https://www.thelancet.com/journals/lanpsy/article/PIIS2215-0366(18)30223-2/fulltext … [FREE w/email reg] #digitalhealthpic.twitter.com/cQV2Oruwuu","","30","26","1531263033000","3:50 PM - 10 Jul 2018","/TheLancetPsych/status/1016816977493528577"
"1557300516-3234","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@TruehopeEmpower","Truehope Nutritional Support Ltd.","10 lists of 10 ways to beat depression, naturally http://tinyurl.com/l32oe3h  #Treatment","","5","4","1422362797000","4:46 AM - 27 Jan 2015","/TruehopeEmpower/status/560056281042415617"
"1557300516-2902","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@StMikesHospital","St. Michael's","It's finally here. @CANBIND's Family & Friends Day at @StMikesHospital. This year's theme: ""Art & science in the treatment of #depression. pic.twitter.com/B6M4jq7hIF","","8","16","1490014568000","5:56 AM - 20 Mar 2017","/StMikesHospital/status/843808374085074944"
"1557300516-2973","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@HarvardHealth","Harvard Health","An approach to therapy that may make #depression treatment more accessible: http://hvrd.me/3Yfn303GdL0  #HarvardHealthpic.twitter.com/4ClYWpjeSM","1","58","45","1472507721000","2:55 PM - 29 Aug 2016","/HarvardHealth/status/770379336998391810"
"1557300516-2690","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@MQmentalhealth","MQ","Have you been affected by #depression or #anxiety? @GLADStudy is seeking 40,000 people to contribute to the UK's largest research project - aiming to improve understanding and treatment options for these conditions. Sign up here: http://gladstudy.org.uk pic.twitter.com/RGcLu6ypnP","1","19","20","1540555553000","5:05 AM - 26 Oct 2018","/MQmentalhealth/status/1055792629806497792"
"1557300516-3135","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@RadioNational","RN - Radio National","The causes of #depression are diverse & complex - so the future of effective treatment must be personalised. http://ab.co/1DP4KQc","","7","9","1439600727000","6:05 PM - 14 Aug 2015","/RadioNational/status/632357398905229312"
"1557300516-3401","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@NASEM_Health","NASEM Health","Parental #depression can put kids at a greater risk for health problems. How can identification, treatment improve? http://ow.ly/amgdV","","3","1","1334765124000","9:05 AM - 18 Apr 2012","/NASEM_Health/status/192645010821365760"
"1557300516-2737","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@CarBombBoom13","Daniel Carcillo","Today would have been Rick Rypien’s 34th birthday @kbieksa3 If Rick would have received the proper diagnosis & treatment for a #TBI while he played in the league of denial @NHL he would still be with us today @Canucks #clinical #depression #suicide #MentalHealthAwareness #nhlpic.twitter.com/ieG9BtpRAs","7","47","153","1526512348000","4:12 PM - 16 May 2018","/CarBombBoom13/status/996891158424014848"
"1557300516-3203","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@Columbia","Columbia University","Columbia University is offering free treatment for patients w #bipolar #depression through research studies. Visit http://depression-nyc.org","","17","7","1428002120000","12:15 PM - 2 Apr 2015","/Columbia/status/583709317334990848"
"1557300516-3423","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@NewMindMirror","Edward Craig","#Nutrition and #Depression: State of the Science and Treatment - PsychToday  http://su.pr/1T0cEo","","2","","1290470427000","4:00 PM - 22 Nov 2010","/NewMindMirror/status/6859584589275136"
"1557300516-3187","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@KatherineBaqleh","Katherine Baqleh APD","Dietary improvement as a treatment strategy in major #depression... #nutritionintomeals #MentalHealthAwareness #APDpic.twitter.com/kLVDUciERa","","5","4","1430200330000","10:52 PM - 27 Apr 2015","/KatherineBaqleh/status/592929277626036225"
"1557300516-3107","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@CleClinicMD","Cleveland Clinic MD","Spinal disease treatment has positive effects on #depression and other mental health distress http://cle.clinic/1cUxnzh pic.twitter.com/EUOBMTjY3Y","1","14","8","1442975342000","7:29 PM - 22 Sep 2015","/CleClinicMD/status/646511560723066887"
"1557300516-3370","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@MDEdgePsych","MDEdge Psychiatry","Pharmacotherapy for comorbid #depression and #alcohol dependence http://bit.ly/X2y7ar  #substanceabuse #treatment","","4","2","1357142280000","7:58 AM - 2 Jan 2013","/MDEdgePsych/status/286501607854710786"
"1557300516-3092","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@NepaliTimes","Nepali Times","About 350 million people in the world are affected by #depression, and most will never seek treatment http://bit.ly/1L3gWwS  @AnjyRajy","4","4","6","1444716371000","11:06 PM - 12 Oct 2015","/NepaliTimes/status/653813968134275072"
"1557300516-3273","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@nstopdepression","LN Stop Depression","Finding Depression Treatment That Works For You http://tinyurl.com/n73q65k  #DepressionTreatment #anxietyproblems #depression","","1","8","1412860642000","6:17 AM - 9 Oct 2014","/nstopdepression/status/520201356083085312"
"1557300516-2624","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@OKCPsychiatry","Lauren Schwartz MD","Please do not let anyone dismiss #postpartum #depression, #anxiety or #OCD symptoms. If you or someone you love is suffering, call today. 
There are so many treatment options. #therapy can help. 

You and your baby’s #MentalHealthMatters.
#psychtwitterhttps://twitter.com/PsychiatricNews/status/1116753723357827072 …","","7","17","1555100432000","1:20 PM - 12 Apr 2019","/OKCPsychiatry/status/1116798272994197510"
"1557300516-3451","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@sitagita","Sita Gita","Treatment for #Depression: Talk Therapy, #Lifestyle change, medications - http://uurl.in/j5n1","","","","1245326955000","5:09 AM - 18 Jun 2009","/sitagita/status/2221319393"
"1557300516-2762","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@Lundbeck","Lundbeck","Effective treatment of #depression enables a return to a pre-depression lifestyle. #EPA2018 #Psychiatry #progressinmind","","12","53","1520345978000","6:19 AM - 6 Mar 2018","/Lundbeck/status/971027530189819904"
"1557300516-3395","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@WebMD","WebMD","Phone therapy for #depression works as well as face-to-face doctor visits, takes away barriers to treatment.   http://on.webmd.com/Kfhdul","1","27","10","1338981551000","4:19 AM - 6 Jun 2012","/WebMD/status/210329988501737472"
"1557300516-3038","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@NAMICommunicate","NAMI","Five Ways to Stay Productive During Depression http://owl.li/10hvYY   #treatment #MentalHealthAwareness #support","3","21","24","1459799531000","12:52 PM - 4 Apr 2016","/NAMICommunicate/status/717077323430895620"
"1557300516-3202","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@THEMMEXCHANGE","MME","Cannabis and Depression

#marijuana #cannabis #Depression #pain #treatment #medicalmarijuanapic.twitter.com/F1pH6pvUy2","1","60","73","1428243763000","7:22 AM - 5 Apr 2015","/THEMMEXCHANGE/status/584722841305686016"
"1557300516-3087","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@EMS_Junkie","Jess","Is #Ketamine the future Treatment Resistant #depression ?
@ketaminh podcast on Dr Hydes book!
http://prehospitalmed.com/  @depressionarmy","","4","4","1445147445000","10:50 PM - 17 Oct 2015","/EMS_Junkie/status/655622019690573824"
"1557300516-2781","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@trogersresearch","Ted Rogers Research","When living with a chronic disease like heart failure which impacts quality of life, clinical #depression can result. Treatment plans must address this, so patients aren't alone with it. #MentalHealthAwareness #BellLetsTalk","","18","16","1517410158000","6:49 AM - 31 Jan 2018","/trogersresearch/status/958713807559327744"
"1557300516-2985","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@Active_Minds","Active Minds","There's a promising new #depression #treatment that might be cheaper than #CBT:http://time.com/4421979/depression-treatment-cheaper-cbt-behavioral-activation/ …","","9","8","1469736096000","1:01 PM - 28 Jul 2016","/Active_Minds/status/758754297211486208"
"1557300516-2947","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@akhuthera","Akhu Therapeutics","Better treatment for #depression.","3","31","56","1478430881000","3:14 AM - 6 Nov 2016","/akhuthera/status/795222871945527297"
"1557300516-3194","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@MDEdgePsych","MDEdge Psychiatry","How to address treatment-resistant depression and residual symptoms in #depression #AACP http://bit.ly/1CkLyCe","","2","4","1429208155000","11:15 AM - 16 Apr 2015","/MDEdgePsych/status/588767792456925184"
"1557300516-3237","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@blackdoginst","Black Dog Institute","Ketamine is a promising new treatment for #depression. Find out about what still needs to be done on @abc730 tonight.","4","21","12","1421825361000","11:29 PM - 20 Jan 2015","/blackdoginst/status/557802109601861632"
"1557300516-2782","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@TrevorProject","The Trevor Project","""Many depressed people experience misunderstandings about how #depression differs from ordinary, temporary low mood, and that can stand in the way of getting treatment quickly and finding the right help""  #YouAreNotAlonehttps://www.bustle.com/p/whats-the-difference-between-sadness-depression-here-are-4-ways-you-can-tell-8013826 …","2","20","38","1517266506000","2:55 PM - 29 Jan 2018","/TrevorProject/status/958111288261038083"
"1557300516-2998","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@CMHABC","CMHA BC","New research claims 47% of people with #depression are not getting adequate treatment  http://ow.ly/moso302i1Br","","13","13","1468605102000","10:51 AM - 15 Jul 2016","/CMHABC/status/754010564825849856"
"1557300516-3121","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@AnxietyAches","Anxiety & Wellness","Scientists show how magnetic pulses change the brain in treatment for depressed patients http://ift.tt/1KxfCn1  #depression #wellness #de…","","8","2","1440997809000","10:10 PM - 30 Aug 2015","/AnxietyAches/status/638217188437032960"
"1557300516-2896","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@APAPsychiatric","American Psychiatric","#Depression is among the most treatable of mental disorders. 80-90% patients eventually respond well to treatment. http://apapsy.ch/depression https://twitter.com/thescienceofus/status/847845314006585344 …","2","44","28","1490978450000","9:40 AM - 31 Mar 2017","/APAPsychiatric/status/847851190222278658"
"1557300516-2835","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@PsychTimes","Psychiatric Times","Relieving Treatment–Resistant #Depression By Treating Metabolic Deficiencies https://www.bbrfoundation.org/blog/relieving-treatment%E2%80%93resistant-depression-treating-metabolic-deficiencies#.Wb3CQjpKRcc.twitter … @BBRFoundation","","9","13","1505608289000","5:31 PM - 16 Sep 2017","/PsychTimes/status/909213180584501248"
"1557300516-3232","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@KFlynnOakville","Kevin Flynn","Ont's support for brain research will help w/ faster diagnosis, personalized #depression treatment http://news.ontario.ca/m/31575  #BellLetsTalk","1","10","6","1422463218000","8:40 AM - 28 Jan 2015","/KFlynnOakville/status/560477475818311680"
"1557300516-3091","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@AmandaItzkoffmd","Amanda Itzkoff, MD","Hayden Panettiere Is Seeking #Treatment For #Postpartum #Depression http://klou.tt/1lccjthk74jic  #PMAD support our #newmom s !","2","4","6","1444885240000","10:00 PM - 14 Oct 2015","/AmandaItzkoffmd/status/654522252285771776"
"1557300516-2983","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@blackdoginst","Black Dog Institute","World's largest publicly funded trial of #ketamine treatment for #depression starts @blackdoginst this weekhttps://www.theguardian.com/australia-news/2016/aug/16/mental-health-large-scale-ketamine-trial-to-investigate-effect-on-depression …","1","16","15","1471397401000","6:30 PM - 16 Aug 2016","/blackdoginst/status/765722316701523968"
"1557300516-2855","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@MAPS","MAPS","#Ketamine Clinics Show Promise for Treatment-Resistant Depression http://bit.ly/2utt2Nt  via @TheInquisitr #Depression #OCD #PTSD","","19","40","1500918793000","10:53 AM - 24 Jul 2017","/MAPS/status/889544010477355009"
