,%Strength,Class,Pretend,care,created_at,date,daughter,description,df,draw,eat,educ,famili,favorite_count,followers_count,friends_count,haha,health,hello,help,id,id_str,ill,impress,let,listed_count,location,love,lunch,mayb,peopl,pictur,rent,retweet_count,retweeted,rock,shes,statuses_count,text,that,time,time_zone,toe,trentreznor,umbrella,user,wanna,watch
1,54.742175340652466,Prescriptive,,,Tue Mar 26 14:43:29 +0000 2019,0.07279601693153381,0.06050962209701538,NEW TWITTER,0,0.07513342052698135,,,0.043166305869817734,0,84,129,,,,,1110552858120740864,1110552858120740864,,,,0,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,1265,RT @victorialoopz: when u make him mad n he start driving home like dis 🥴 https://t.co/DOsh5zvRhg,,,,0.02714640274643898,,0.06668082624673843,CarlingZaida,,
2,68.85612607002258,Prescriptive,,,Tue Mar 26 14:43:29 +0000 2019,0.07279601693153381,0.06050962209701538,different.,0,0.07513342052698135,,,0.043166305869817734,0,561,448,,,,,1110552858208948224,1110552858208948224,,,,0,"Maryland, USA",0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,8403,RT @1kCobi: This how broward n dade niggas drive rentals https://t.co/dWxiCSHtAh,,,,0.02714640274643898,,0.06668082624673843,itssrachell_,,
3,33.33333432674408,Prescriptive,,,Tue Mar 26 14:43:29 +0000 2019,0.07279601693153381,0.06050962209701538,it ain't shit,0,0.07513342052698135,,,0.043166305869817734,0,527,467,,,,,1110552859823607808,1110552859823607808,,,,1,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,8645,@Kkimmm1232 SAD REAX ONLY,,,,0.02714640274643898,,0.06668082624673843,prejmrh,,
4,59.86003875732422,Prescriptive,,,Tue Mar 26 14:43:29 +0000 2019,0.07279601693153381,0.06050962209701538,,0,0.07513342052698135,,,0.043166305869817734,0,80,111,,,,,1110552860700430336,1110552860700430336,,,,0,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,7256,RT @BruceDandbdavis: @DeepStateExpose WOW ‼️- LONDON is now gone. - SO SAD 😠 https://t.co/KJHkSGbh55,,,,0.02714640274643898,,0.06668082624673843,DEKS_MAGA,,
5,90.33470749855042,Prescriptive,,,Tue Mar 26 14:43:30 +0000 2019,0.07279601693153381,0.06050962209701538,3/18/19,0,0.07513342052698135,,,0.043166305869817734,0,274,548,,,,,1110552862105305088,1110552862105305088,,,,2,existential  crisis,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,9524,"RT @yeolplait: head: aching
school: stressing
grades: dropping
motivation: none
i’m: sad

everyone: “you’re just being lazy 😤”",,,,0.02714640274643898,,0.06668082624673843,cosmickass,,
6,58.27425718307495,Prescriptive,,,Tue Mar 26 14:43:30 +0000 2019,0.07279601693153381,0.06050962209701538,Sc: cammypoohhh Insta: cammaaay,0,0.07513342052698135,,,0.043166305869817734,0,462,420,,,,,1110552862264836096,1110552862264836096,,,,2,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,3653,"RT @suchnerve: “MY ANXIETY ISN’T *THAT* BAD” STARTER PACK

1. leg bouncing
2. picking at your lips
3. walking very quickly
4. having two mo…",,,,0.02714640274643898,,0.06668082624673843,Cammaay,,
7,54.83998656272888,Prescriptive,,,Tue Mar 26 14:43:30 +0000 2019,0.07279601693153381,0.06050962209701538,"Me gusta el fortnite, me gustas tu.",0,0.07513342052698135,,,0.043166305869817734,0,9,140,,,,,1110552862361305088,1110552862361305088,,,,0,"Coyoacán, Distrito Federal",0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,141,RT @yvonnethebird12: My dad has been really depressed ever since our family dog passed away and today I surprised him with a new puppy 😊😭 h…,,,,0.02714640274643898,,0.06668082624673843,FarolFarolero,,
8,80.06385564804077,Prescriptive,,,Tue Mar 26 14:43:30 +0000 2019,0.07279601693153381,0.06050962209701538,👋 Welcome to our official @TfL feed. Here to help and provide travel advice about planned works and major disruption. https://t.co/78cm3fh2rl,0,0.07513342052698135,,,0.043166305869817734,0,121053,27,,,,,1110552862508105728,1110552862508105728,,,,543,"London, England",0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,26994,"@curlyKing111 Hi Dave, Sorry that you were delayed this morning, this was due to signal failure at Aldgate Station.… https://t.co/bNL2rjGath",,,,0.02714640274643898,,0.06668082624673843,metline,,
9,59.45517420768738,Prescriptive,,,Tue Mar 26 14:43:30 +0000 2019,0.07279601693153381,0.06050962209701538,"Technophile, Biomedical Engineer, Mental Health Advocate, @JUFET alum",0,0.07513342052698135,,,0.043166305869817734,0,755,1645,,,,,1110552862747230208,1110552862747230208,,,,10,Kolkata,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,118161,I’m Not Surprised by ALS’ Link to Depression – ALS News Today https://t.co/J6b6peFQpO,,,,0.02714640274643898,,0.06668082624673843,somsirsa,,
10,63.45781087875366,Prescriptive,,,Tue Mar 26 14:43:30 +0000 2019,0.07279601693153381,0.06050962209701538,Easily amused librarian,0,0.07513342052698135,,,0.043166305869817734,0,6592,2159,,,,,1110552863183241216,1110552863183241216,,,,90,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,42055,"RT @andlikelaura: anxiety is cool cause you’ll just be sitting there eating pizza and suddenly your brain is all, why does my face have to…",,,,0.02714640274643898,,0.06668082624673843,sophielou,,
11,58.272624015808105,Prescriptive,,,Tue Mar 26 14:43:30 +0000 2019,0.07279601693153381,0.06050962209701538,Sc: Itsss.asiaaa,0,0.07513342052698135,,,0.043166305869817734,0,615,640,,,,,1110552863195971584,1110552863195971584,,,,0,"Baltimore, MD",0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,37897,"RT @suchnerve: “MY ANXIETY ISN’T *THAT* BAD” STARTER PACK

1. leg bouncing
2. picking at your lips
3. walking very quickly
4. having two mo…",,,,0.02714640274643898,,0.06668082624673843,asiasrogers,,
12,58.2758903503418,Prescriptive,,,Tue Mar 26 14:43:30 +0000 2019,0.07279601693153381,0.06050962209701538,dmv forever 💛 Bowie State,0,0.07513342052698135,,,0.043166305869817734,0,1184,1066,,,,,1110552863896494086,1110552863896494086,,,,5,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,10825,"RT @suchnerve: “MY ANXIETY ISN’T *THAT* BAD” STARTER PACK

1. leg bouncing
2. picking at your lips
3. walking very quickly
4. having two mo…",,,,0.02714640274643898,,0.06668082624673843,DeVisionary,,
13,65.22528529167175,Prescriptive,,,Tue Mar 26 14:43:30 +0000 2019,0.07279601693153381,0.06050962209701538,Whatever it Takes,0,0.07513342052698135,,,0.043166305869817734,0,395,928,,,,,1110552864135528448,1110552864135528448,,,,1,"Haddonfield, Illinois ",0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,3441,@PaulBlackthorne I’m sad to see it go but either way I hope @StephenAmell still appears in the shows from time to time,,,,0.02714640274643898,,0.06668082624673843,RollinsRRR75,,
14,78.0031144618988,Prescriptive,,,Tue Mar 26 14:43:30 +0000 2019,0.07279601693153381,0.06050962209701538,im baby,0,0.07513342052698135,,,0.043166305869817734,0,2428,539,,,,,1110552865540444160,1110552865540444160,,,,4,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,81855,RT @bukhariawesome: Everyone who played this grew up to have anxiety and the obsessive need to please everyone. https://t.co/ed53998XCz,,,,0.02714640274643898,,0.06668082624673843,ynmra,,
15,54.743361473083496,Prescriptive,,,Tue Mar 26 14:43:30 +0000 2019,0.07279601693153381,0.06050962209701538,🖕🏾,0,0.07513342052698135,,,0.043166305869817734,0,339,311,,,,,1110552865972473856,1110552865972473856,,,,0,blessthebottle,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,2951,RT @victorialoopz: when u make him mad n he start driving home like dis 🥴 https://t.co/DOsh5zvRhg,,,,0.02714640274643898,,0.06668082624673843,AmyAyala951,,
16,58.26781392097473,Prescriptive,,,Tue Mar 26 14:43:31 +0000 2019,0.07279601693153381,0.06050962209701538,18.,0,0.07513342052698135,,,0.043166305869817734,0,22,20,,,,,1110552866551414789,1110552866551414789,,,,0,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,253,"RT @suchnerve: “MY ANXIETY ISN’T *THAT* BAD” STARTER PACK

1. leg bouncing
2. picking at your lips
3. walking very quickly
4. having two mo…",,,,0.02714640274643898,,0.06668082624673843,eps_joon,,
17,54.80189919471741,Prescriptive,,,Tue Mar 26 14:43:31 +0000 2019,0.07279601693153381,0.06050962209701538,,0,0.07513342052698135,,,0.043166305869817734,0,62,151,,,,,1110552867071365120,1110552867071365120,,,,0,"San Luis Obispo, CA",0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,713,RT @yvonnethebird12: My dad has been really depressed ever since our family dog passed away and today I surprised him with a new puppy 😊😭 h…,,,,0.02714640274643898,,0.06668082624673843,slacker10,,
18,86.36417388916016,Prescriptive,,,Tue Mar 26 14:43:31 +0000 2019,0.07279601693153381,0.06050962209701538,a lunatic girl from Stem-Aphrodite🌸,0,0.07513342052698135,,,0.043166305869817734,0,206,206,,,,,1110552867700535296,1110552867700535296,,,,0,"Roxas, Cagayan Valley",0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,831,RT @chanrmnd: pretending happy is easier than explaining why you're sad.,,,,0.02714640274643898,,0.06668082624673843,ShesheSheeeeen,,
19,54.79664206504822,Prescriptive,,,Tue Mar 26 14:43:31 +0000 2019,0.07279601693153381,0.06050962209701538,🏳️‍🌈/ Jessi’s aunt💕🖇,0,0.07513342052698135,,,0.043166305869817734,0,373,410,,,,,1110552868367548417,1110552868367548417,,,,0,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,5088,RT @yvonnethebird12: My dad has been really depressed ever since our family dog passed away and today I surprised him with a new puppy 😊😭 h…,,,,0.02714640274643898,,0.06668082624673843,lilbuttcheyy,,
20,33.33333432674408,Prescriptive,,,Tue Mar 26 14:43:31 +0000 2019,0.07279601693153381,0.06050962209701538,Sc: Jayy_michelled | Insta: arrogantt_jayy,0,0.07513342052698135,,,0.043166305869817734,0,220,508,,,,,1110552869097345024,1110552869097345024,,,,0,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,1365,Fuckkkkkkkkkkkkkkk,,,,0.02714640274643898,,0.06668082624673843,ArrograntJay,,
21,54.83540892601013,Prescriptive,,,Tue Mar 26 14:43:31 +0000 2019,0.07279601693153381,0.06050962209701538,Do it for the story,0,0.07513342052698135,,,0.043166305869817734,0,151,195,,,,,1110552869885755392,1110552869885755392,,,,1,California ,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,148,RT @yvonnethebird12: My dad has been really depressed ever since our family dog passed away and today I surprised him with a new puppy 😊😭 h…,,,,0.02714640274643898,,0.06668082624673843,GoodwinSamantha,,
22,54.74541783332825,Prescriptive,,,Tue Mar 26 14:43:31 +0000 2019,0.07279601693153381,0.06050962209701538,Philippians 4:13 #tjc21 💜C.L.P💜 ‘99 roundbody 💦,0,0.07513342052698135,,,0.043166305869817734,0,315,363,,,,,1110552870053728256,1110552870053728256,,,,0,"Texas, USA",0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,3272,RT @victorialoopz: when u make him mad n he start driving home like dis 🥴 https://t.co/DOsh5zvRhg,,,,0.02714640274643898,,0.06668082624673843,britooo_13,,
23,78.00371050834656,Prescriptive,,,Tue Mar 26 14:43:32 +0000 2019,0.07279601693153381,0.06050962209701538,"sometimes sweet, but sometimes shit.",0,0.07513342052698135,,,0.043166305869817734,0,550,257,,,,,1110552870410047488,1110552870410047488,,,,4,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,27521,RT @bukhariawesome: Everyone who played this grew up to have anxiety and the obsessive need to please everyone. https://t.co/ed53998XCz,,,,0.02714640274643898,,0.06668082624673843,kie_zack,,
24,54.79536056518555,Prescriptive,,,Tue Mar 26 14:43:32 +0000 2019,0.07279601693153381,0.06050962209701538,Believe in justice for all and equal treatment of all ! I am not a Bot tired of being accused of it!!!!,0,0.07513342052698135,,,0.043166305869817734,0,349,595,,,,,1110552870385078274,1110552870385078274,,,,1,United States,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,7057,RT @yvonnethebird12: My dad has been really depressed ever since our family dog passed away and today I surprised him with a new puppy 😊😭 h…,,,,0.02714640274643898,,0.06668082624673843,desmith817,,
25,91.57544374465942,Prescriptive,,,Tue Mar 26 14:43:32 +0000 2019,0.07279601693153381,0.06050962209701538,,0,0.07513342052698135,,,0.043166305869817734,0,362,191,,,,,1110552871202902017,1110552871202902017,,,,1,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,11299,Oh Stop it.  You are such a Drama Queen!  President Trump won the 2016 Election in accordance with the laws of our… https://t.co/XQIU1ch4LY,,,,0.02714640274643898,,0.06668082624673843,djst99,,
26,77.6279866695404,Prescriptive,,,Tue Mar 26 14:43:32 +0000 2019,0.07279601693153381,0.06050962209701538,𝖜𝖊 𝖆𝖗𝖊 𝖎𝖓 𝖓𝖔𝖎𝖗°°,0,0.07513342052698135,,,0.043166305869817734,0,200,312,,,,,1110552871538487296,1110552871538487296,,,,0,Kill This Love 05.04,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,23849,RT @miiniongay: type the fanchant w ur eyes closed it's for my depression,,,,0.02714640274643898,,0.06668082624673843,pabojendukie,,
27,54.79639172554016,Prescriptive,,,Tue Mar 26 14:43:32 +0000 2019,0.07279601693153381,0.06050962209701538,next level perfectionist,0,0.07513342052698135,,,0.043166305869817734,0,107,86,,,,,1110552872003854336,1110552872003854336,,,,5,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,9133,RT @yvonnethebird12: My dad has been really depressed ever since our family dog passed away and today I surprised him with a new puppy 😊😭 h…,,,,0.02714640274643898,,0.06668082624673843,felicianavidad,,
28,85.72564125061035,Prescriptive,,,Tue Mar 26 14:43:32 +0000 2019,0.07279601693153381,0.06050962209701538,"Man will never be free until the last king is strangled with the entrails of the last priest.

Denis Diderot",0,0.07513342052698135,,,0.043166305869817734,0,789,2305,,,,,1110552872163438593,1110552872163438593,,,,8,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,39021,RT @Martin_Indyk: Trump’s embassy move gave Palestinians justification to reject his peace plan. Now his Golan decision gives Saudi Arabia…,,,,0.02714640274643898,,0.06668082624673843,hanzs26,,
29,88.5309636592865,Prescriptive,,,Tue Mar 26 14:43:32 +0000 2019,0.07279601693153381,0.06050962209701538,"EVENT HAUZ, ENTERTAINMENT, CREATIVE ART LOVER, POSITIVE ENERGY.",0,0.07513342052698135,,,0.043166305869817734,0,39,99,,,,,1110552872264044546,1110552872264044546,,,,0,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,115,"Sad News
My friend just broke up with the guy that normally buys us food.
😭😭😭😭..",,,,0.02714640274643898,,0.06668082624673843,GENIUZMIND1,,
30,84.27628874778748,Prescriptive,,,Tue Mar 26 14:43:32 +0000 2019,0.07279601693153381,0.06050962209701538,"+250-YoungWithVision living to make an impact than income. |Basketball|Poetry|Leadership|Arts|Worship|Friends|
#GOE I was Just made to make.",0,0.07513342052698135,,,0.043166305869817734,0,525,2079,,,,,1110552872733814785,1110552872733814785,,,,0,Country of a Thousand Hills,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,679,"RT @ReviewNinjaCoUk: Success is the result of perfection, hard work, learning from failure, loyalty, and persistence. 
~Colin Powell~

#Tue…",,,,0.02714640274643898,,0.06668082624673843,ShemaFiona,,
31,82.79122710227966,Prescriptive,,,Tue Mar 26 14:43:33 +0000 2019,0.07279601693153381,0.06050962209701538,,0,0.07513342052698135,,,0.043166305869817734,0,86,237,,,,,1110552875581743105,1110552875581743105,,,,4,dfw,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,28275,"RT @KamalaHarris: Our children are being raised by two groups of people: families and teachers. Yet, we fail to pay teachers their value. A…",,,,0.02714640274643898,,0.06668082624673843,NanyihiDavis,,
32,54.739946126937866,Prescriptive,,,Tue Mar 26 14:43:33 +0000 2019,0.07279601693153381,0.06050962209701538,"खुबसूरत  .they always ask whos a good boy, but never ask hows a good boy. a hungry dog is a fast dog",0,0.07513342052698135,,,0.043166305869817734,0,876,595,,,,,1110552876437299200,1110552876437299200,,,,8,"Az,",0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,34679,RT @victorialoopz: when u make him mad n he start driving home like dis 🥴 https://t.co/DOsh5zvRhg,,,,0.02714640274643898,,0.06668082624673843,antzinherpance,,
33,58.27348828315735,Prescriptive,,,Tue Mar 26 14:43:33 +0000 2019,0.07279601693153381,0.06050962209701538,TX 🌻 | 21 | 👻 : Woahits_Zariah,0,0.07513342052698135,,,0.043166305869817734,0,360,545,,,,,1110552876672339969,1110552876672339969,,,,0,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,7936,"RT @suchnerve: “MY ANXIETY ISN’T *THAT* BAD” STARTER PACK

1. leg bouncing
2. picking at your lips
3. walking very quickly
4. having two mo…",,,,0.02714640274643898,,0.06668082624673843,Woahits_Zee,,
34,78.0034065246582,Prescriptive,,,Tue Mar 26 14:43:33 +0000 2019,0.07279601693153381,0.06050962209701538,,0,0.07513342052698135,,,0.043166305869817734,0,81,66,,,,,1110552878567981056,1110552878567981056,,,,0,Hogwarts,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,26407,RT @bukhariawesome: Everyone who played this grew up to have anxiety and the obsessive need to please everyone. https://t.co/ed53998XCz,,,,0.02714640274643898,,0.06668082624673843,lisazulkhaidahh,,
35,77.98628211021423,Prescriptive,,,Tue Mar 26 14:43:34 +0000 2019,0.07279601693153381,0.06050962209701538,hi (-:,0,0.07513342052698135,,,0.043166305869817734,0,161,144,,,,,1110552878790250496,1110552878790250496,,,,1,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,33518,"i rlly feel sad for my friends at times, they go thru so much more than me, i love you guys stay strong :,( ❤️",,,,0.02714640274643898,,0.06668082624673843,anlazmn,,
36,33.33333432674408,Prescriptive,,,Tue Mar 26 14:43:34 +0000 2019,0.07279601693153381,0.06050962209701538,edi siya na,0,0.07513342052698135,,,0.043166305869817734,0,584,926,,,,,1110552880887422977,1110552880887422977,,,,0,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,9103,"RT @icapagodnatlg: wow im so sad
too sad",,,,0.02714640274643898,,0.06668082624673843,Jaaaassyy,,
37,33.33333432674408,Prescriptive,,,Tue Mar 26 14:43:34 +0000 2019,0.07279601693153381,0.06050962209701538,college life and stan twt together ain’t it,0,0.07513342052698135,,,0.043166305869817734,0,172,119,,,,,1110552880866455557,1110552880866455557,,,,17,dani💜 | taegi/ot7,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,208253,RT @Jojo20918: @taiwanesebby We here and we depressed let's get it https://t.co/iiOcAmfhrP,,,,0.02714640274643898,,0.06668082624673843,yoonsingularity,,
38,82.99371004104614,Prescriptive,,,Tue Mar 26 14:43:34 +0000 2019,0.07279601693153381,0.06050962209701538,,0,0.07513342052698135,,,0.043166305869817734,0,173,893,,,,,1110552881860694016,1110552881860694016,,,,0,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,2,RETROFIT EXCAVATION/ INSECURE SMILE/ FAILURE AND RESENTMENT https://t.co/uGwXoatd9V,,,,0.02714640274643898,,0.06668082624673843,Eccseltxier,,
39,78.00789475440979,Prescriptive,,,Tue Mar 26 14:43:34 +0000 2019,0.07279601693153381,0.06050962209701538,tersipu apa pemimpin patik,0,0.07513342052698135,,,0.043166305869817734,0,147,236,,,,,1110552881919254532,1110552881919254532,,,,0,,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,9709,RT @bukhariawesome: Everyone who played this grew up to have anxiety and the obsessive need to please everyone. https://t.co/ed53998XCz,,,,0.02714640274643898,,0.06668082624673843,brownishugar,,
40,58.27246308326721,Prescriptive,,,Tue Mar 26 14:43:34 +0000 2019,0.07279601693153381,0.06050962209701538,BGSU 22’ / snap- lindsea_1213,0,0.07513342052698135,,,0.043166305869817734,0,180,266,,,,,1110552882724646912,1110552882724646912,,,,2,"Bowling Green, OH",0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,4025,"RT @suchnerve: “MY ANXIETY ISN’T *THAT* BAD” STARTER PACK

1. leg bouncing
2. picking at your lips
3. walking very quickly
4. having two mo…",,,,0.02714640274643898,,0.06668082624673843,lindsea_anne,,
41,58.2725465297699,Prescriptive,,,Tue Mar 26 14:43:35 +0000 2019,0.07279601693153381,0.06050962209701538,seven men. seven dreams. one heart. thank you for staying @BTS_twt,0,0.07513342052698135,,,0.043166305869817734,0,1957,2311,,,,,1110552883102019586,1110552883102019586,,,,7,stan mf ot7 bangtan cowards,0.02614268660545349,0.05804455652832985,0.032125405967235565,,,0.03951606899499893,0,False,,,49814,"RT @suchnerve: “MY ANXIETY ISN’T *THAT* BAD” STARTER PACK

1. leg bouncing
2. picking at your lips
3. walking very quickly
4. having two mo…",,,,0.02714640274643898,,0.06668082624673843,joonariachi,,
